,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GBC__subsample,param_GBC__n_estimators,param_GBC__min_samples_split,param_GBC__min_samples_leaf,param_GBC__max_features,param_GBC__max_depth,param_GBC__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
9,47.76897192001343,1.6046847508812576,0.11725816726684571,0.013549564699572704,0.85,200,0.1,0.1,sqrt,8,0.1,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.8060959792477302,0.7911802853437094,0.790395846852693,0.8033744321868916,0.8059701492537313,0.8014276443867618,0.8046722907203114,0.8170019467878001,0.8014276443867618,0.7968851395197923,0.8018431358686182,0.007381878159584563,1
7,50.18601291179657,1.4031272240681703,0.13355891704559325,0.02910223967669844,0.85,200,0.1,0.1,sqrt,8,0.5,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.5}",0.7911802853437094,0.7821011673151751,0.7884490590525632,0.7845554834523037,0.7865022712524334,0.791693705386113,0.7767683322517845,0.7955872809863724,0.7878001297858533,0.7878001297858533,0.7872437844612161,0.005009410255091887,2
66,33.69724102020264,0.9849392804365448,0.09857914447784424,0.004438034323277457,0.618,200,0.1,0.1,log2,8,0.5,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.5}",0.7775616083009079,0.771076523994812,0.7748215444516547,0.7761194029850746,0.7819597663854639,0.7774172615184944,0.7800129785853342,0.7897469175859831,0.7852044127190136,0.7819597663854639,0.7795880182912203,0.005120475692009547,3
12,10.38979513645172,0.44848717382757364,0.03808836936950684,0.004321821643064026,0.8,50,0.1,0.1,log2,8,0.1,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.7334630350194552,0.7250324254215305,0.7391304347826086,0.736534717715769,0.7527579493835171,0.7404282933160286,0.7482154445165476,0.7443218689162882,0.745619727449708,0.7417261518494485,0.7407230048370901,0.007469798450683981,4
1,22.661276435852052,3.3053656867316694,0.05294039249420166,0.011609714692404273,0.9,100,0.1,0.2,sqrt,8,0.05,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.05}",0.7172503242542153,0.7016861219195849,0.72744970798183,0.718364698247891,0.7164179104477612,0.7242050616482804,0.7242050616482804,0.7222582738481506,0.7170668397144712,0.709279688513952,0.7178183688224417,0.007282587608954557,5
74,9.826620817184448,0.369103576600227,0.03294107913970947,0.005113743529263109,0.9,50,0.1,0.2,sqrt,3,0.1,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.1}",0.7146562905317769,0.7016861219195849,0.7216093445814407,0.7118754055807917,0.7177157689811811,0.719013627514601,0.7203114860480208,0.7209604153147307,0.7151200519143414,0.7164179104477612,0.715936642283423,0.005579417069874066,6
38,41.26043846607208,2.875290379701809,0.06808216571807861,0.008393977747304458,1.0,200,0.1,0.30000000000000004,sqrt,8,1,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.30000000000000004, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 8, 'GBC__learning_rate': 1}",0.7055771725032426,0.691958495460441,0.7157689811810513,0.7157689811810513,0.7248539909149903,0.7008436080467229,0.7164179104477612,0.6982478909798832,0.7047371836469825,0.7053861129136924,0.7079560327275818,0.009500573379518281,7
59,28.476289010047914,0.6833391598713106,0.062177395820617674,0.011802494058561415,0.618,200,0.1,0.2,log2,3,0.5,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 200, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'log2', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.5}",0.708171206225681,0.6900129701686122,0.7008436080467229,0.7112264763140818,0.7235561323815705,0.6859182349123946,0.7138221933809215,0.7105775470473719,0.7073329007138222,0.7164179104477612,0.7067879179638938,0.01100881804130779,8
78,2.5198548078536986,0.04192901070784273,0.02015523910522461,0.0018010539975054705,1.0,10,0.1,0.1,log2,5,0.5,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.5}",0.6984435797665369,0.7094682230869002,0.6885139519792343,0.6995457495133031,0.7034393251135627,0.691109669046074,0.7177157689811811,0.7131732641142116,0.7047371836469825,0.7079818299805322,0.703412854522852,0.00878709504633227,9
92,17.14571189880371,0.7081590015980258,0.043131542205810544,0.011955948741339106,0.95,100,0.1,0.30000000000000004,sqrt,5,1,"{'GBC__subsample': 0.95, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.30000000000000004, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 1}",0.691958495460441,0.7010376134889753,0.7105775470473719,0.7047371836469825,0.7021414665801428,0.7053861129136924,0.6995457495133031,0.7014925373134329,0.6969500324464634,0.709279688513952,0.7023106426924757,0.005273728989027646,10
